Plot,Treatment,Midges,Structure,Block,Time,Bag.Number,Set.Date,Set.Weight,Extraction.Date,Extraction,Tloss,Ploss,Premain
2,MI,Midges,Short,1,1,73,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
3,I,No Midges,Short,1,1,67,22-Jul-17,2.09,22-Jul-17,2.09,0,0,1
6,IT,No Midges,Tall,1,1,70,22-Jul-17,2.14,22-Jul-17,2.14,0,0,1
8,C,Midges,Tall,1,1,91,22-Jul-17,2.09,22-Jul-17,2.09,0,0,1
9,I,No Midges,Short,2,1,61,22-Jul-17,2.06,22-Jul-17,2.06,0,0,1
12,C,Midges,Tall,2,1,69,22-Jul-17,2.11,22-Jul-17,2.11,0,0,1
13,IT,No Midges,Tall,2,1,58,22-Jul-17,2.19,22-Jul-17,2.19,0,0,1
14,MI,Midges,Short,2,1,77,22-Jul-17,2.08,22-Jul-17,2.08,0,0,1
17,I,No Midges,Short,3,1,76,22-Jul-17,2.06,22-Jul-17,2.06,0,0,1
18,IT,No Midges,Tall,3,1,25,22-Jul-17,2.16,22-Jul-17,2.16,0,0,1
21,MI,Midges,Short,3,1,34,22-Jul-17,2.02,22-Jul-17,2.02,0,0,1
23,C,Midges,Tall,3,1,42,22-Jul-17,2.5,22-Jul-17,2.5,0,0,1
25,I,No Midges,Short,4,1,12,22-Jul-17,2.15,22-Jul-17,2.15,0,0,1
28,C,Midges,Tall,4,1,89,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
29,MI,Midges,Short,4,1,86,22-Jul-17,2.06,22-Jul-17,2.06,0,0,1
30,IT,No Midges,Tall,4,1,88,22-Jul-17,2.01,22-Jul-17,2.01,0,0,1
35,I,No Midges,Short,5,1,94,22-Jul-17,2.1,22-Jul-17,2.1,0,0,1
37,IT,No Midges,Tall,5,1,10,22-Jul-17,2.01,22-Jul-17,2.01,0,0,1
38,C,Midges,Tall,5,1,93,22-Jul-17,2.05,22-Jul-17,2.05,0,0,1
39,MI,Midges,Short,5,1,85,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
43,IT,No Midges,Tall,6,1,18,22-Jul-17,2.25,22-Jul-17,2.25,0,0,1
45,MI,Midges,Short,6,1,57,22-Jul-17,2.05,22-Jul-17,2.05,0,0,1
47,I,No Midges,Short,6,1,3,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
2,MI,Midges,Short,1,2,73,22-Jul-17,2.03,24-Jun-18,0.676,1.354,0.666995074,0.333004926
3,I,No Midges,Short,1,2,67,22-Jul-17,2.09,24-Jun-18,0.7467,1.3433,0.642727273,0.357272727
6,IT,No Midges,Tall,1,2,70,22-Jul-17,2.14,24-Jun-18,0.5939,1.5461,0.722476636,0.277523364
8,C,Midges,Tall,1,2,91,22-Jul-17,2.09,24-Jun-18,0.3905,1.6995,0.813157895,0.186842105
9,I,No Midges,Short,2,2,61,22-Jul-17,2.06,24-Jun-18,0.6415,1.4185,0.688592233,0.311407767
12,C,Midges,Tall,2,2,69,22-Jul-17,2.11,24-Jun-18,0.3992,1.7108,0.810805687,0.189194313
13,IT,No Midges,Tall,2,2,58,22-Jul-17,2.19,24-Jun-18,0.8087,1.3813,0.630730594,0.369269406
14,MI,Midges,Short,2,2,77,22-Jul-17,2.08,24-Jun-18,0.6773,1.4027,0.674375,0.325625
17,I,No Midges,Short,3,2,76,22-Jul-17,2.06,24-Jun-18,0.6846,1.3754,0.667669903,0.332330097
18,IT,No Midges,Tall,3,2,25,22-Jul-17,2.16,24-Jun-18,0.8065,1.3535,0.62662037,0.37337963
21,MI,Midges,Short,3,2,34,22-Jul-17,2.02,24-Jun-18,0.7882,1.2318,0.60980198,0.39019802
23,C,Midges,Tall,3,2,42,22-Jul-17,2.5,24-Jun-18,0.6817,1.8183,0.72732,0.27268
25,I,No Midges,Short,4,2,12,22-Jul-17,2.15,24-Jun-18,0.5302,1.6198,0.753395349,0.246604651
28,C,Midges,Tall,4,2,89,22-Jul-17,2.03,24-Jun-18,0.4476,1.5824,0.779507389,0.220492611
29,MI,Midges,Short,4,2,86,22-Jul-17,2.06,24-Jun-18,0.2203,1.8397,0.893058252,0.106941748
30,IT,No Midges,Tall,4,2,88,22-Jul-17,2.01,24-Jun-18,0.4971,1.5129,0.752686567,0.247313433
35,I,No Midges,Short,5,2,94,22-Jul-17,2.1,24-Jun-18,0.5619,1.5381,0.732428571,0.267571429
37,IT,No Midges,Tall,5,2,10,22-Jul-17,2.01,24-Jun-18,1.254,0.756,0.376119403,0.623880597
38,C,Midges,Tall,5,2,93,22-Jul-17,2.05,24-Jun-18,0.5632,1.4868,0.725268293,0.274731707
39,MI,Midges,Short,5,2,85,22-Jul-17,2.03,24-Jun-18,0.7313,1.2987,0.639753695,0.360246305
43,IT,No Midges,Tall,6,2,18,22-Jul-17,2.25,24-Jun-18,0.727,1.523,0.676888889,0.323111111
45,MI,Midges,Short,6,2,57,22-Jul-17,2.05,24-Jun-18,0.7581,1.2919,0.630195122,0.369804878
47,I,No Midges,Short,6,2,3,22-Jul-17,2.03,24-Jun-18,0.716,1.314,0.64729064,0.35270936
2,MI,Midges,Short,1,3,81,22-Jul-17,2.06,17-Aug-18,0.5665,1.4935,0.725,0.275
3,I,No Midges,Short,1,3,65,22-Jul-17,2.08,17-Aug-18,0.6586,1.4214,0.683365385,0.316634615
6,IT,No Midges,Tall,1,3,79,22-Jul-17,2.2,17-Aug-18,0.6348,1.5652,0.711454545,0.288545455
8,C,Midges,Tall,1,3,48,22-Jul-17,2.01,17-Aug-18,0.8234,1.1866,0.590348259,0.409651741
9,I,No Midges,Short,2,3,66,22-Jul-17,2.08,17-Aug-18,0.5144,1.5656,0.752692308,0.247307692
12,C,Midges,Tall,2,3,69,22-Jul-17,2.11,17-Aug-18,0.3802,1.7298,0.819810427,0.180189573
13,IT,No Midges,Tall,2,3,53,22-Jul-17,2.08,17-Aug-18,0.8294,1.2506,0.60125,0.39875
14,MI,Midges,Short,2,3,38,22-Jul-17,2.14,17-Aug-18,0.4508,1.6892,0.789345794,0.210654206
17,I,No Midges,Short,3,3,37,22-Jul-17,2.07,17-Aug-18,0.517,1.553,0.750241546,0.249758454
18,IT,No Midges,Tall,3,3,36,22-Jul-17,2.19,17-Aug-18,0.6014,1.5886,0.725388128,0.274611872
21,MI,Midges,Short,3,3,23,22-Jul-17,2.1,17-Aug-18,0.6006,1.4994,0.714,0.286
23,C,Midges,Tall,3,3,55,22-Jul-17,2.39,17-Aug-18,0.6094,1.7806,0.745020921,0.254979079
25,I,No Midges,Short,4,3,99,22-Jul-17,2.09,17-Aug-18,0.1528,1.9372,0.926889952,0.073110048
28,C,Midges,Tall,4,3,92,22-Jul-17,2.03,17-Aug-18,0.0842,1.9458,0.958522167,0.041477833
29,MI,Midges,Short,4,3,95,22-Jul-17,2.06,17-Aug-18,0.1667,1.8933,0.91907767,0.08092233
30,IT,No Midges,Tall,4,3,84,22-Jul-17,2.13,17-Aug-18,0.425,1.705,0.800469484,0.199530516
35,I,No Midges,Short,5,3,13,22-Jul-17,2.01,17-Aug-18,0.3329,1.6771,0.834378109,0.165621891
37,IT,No Midges,Tall,5,3,20,22-Jul-17,2.11,17-Aug-18,0.6241,1.4859,0.704218009,0.295781991
38,C,Midges,Tall,5,3,9,22-Jul-17,2.08,17-Aug-18,0.4294,1.6506,0.793557692,0.206442308
39,MI,Midges,Short,5,3,75,22-Jul-17,2.15,17-Aug-18,0.4836,1.6664,0.775069767,0.224930233
43,IT,No Midges,Tall,6,3,8,22-Jul-17,2.04,17-Aug-18,0.3727,1.6673,0.817303922,0.182696078
45,MI,Midges,Short,6,3,7,22-Jul-17,2.13,17-Aug-18,0.3456,1.7844,0.837746479,0.162253521
46,C,Midges,Tall,6,3,2,22-Jul-17,2.07,17-Aug-18,0.464,1.606,0.775845411,0.224154589
47,I,No Midges,Short,6,3,52,22-Jul-17,2.1,17-Aug-18,0.57,1.53,0.728571429,0.271428571
