Plot,Treatment,Set.Date,Extraction.Date,Midges,Structure,Block,Total
2,MI,2017-07-16,2017-08-04,Midges,Short,1,504
3,I,2017-07-16,2017-08-04,No midges,Short,1,493
6,IT,2017-07-16,2017-08-04,No midges,Tall,1,404
8,C,2017-07-16,2017-08-04,Midges,Tall,1,748
9,I,2017-07-16,2017-08-04,No midges,Short,2,65
12,C,2017-07-16,2017-08-04,Midges,Tall,2,433
13,IT,2017-07-16,2017-08-04,No midges,Tall,2,233
14,MI,2017-07-16,2017-08-04,Midges,Short,2,746
17,I,2017-07-16,2017-08-04,No midges,Short,3,290
18,IT,2017-07-16,2017-08-04,No midges,Tall,3,142
21,MI,2017-07-16,2017-08-04,Midges,Short,3,1166
23,C,2017-07-16,2017-08-04,Midges,Tall,3,505
25,I,2017-07-16,2017-08-04,No midges,Short,4,262
28,C,2017-07-16,2017-08-04,Midges,Tall,4,148
29,MI,2017-07-16,2017-08-04,Midges,Short,4,1320
30,IT,2017-07-16,2017-08-04,No midges,Tall,4,145
35,I,2017-07-16,2017-08-04,No midges,Short,5,41
37,IT,2017-07-16,2017-08-04,No midges,Tall,5,159
38,C,2017-07-16,2017-08-04,Midges,Tall,5,291
39,MI,2017-07-16,2017-08-04,Midges,Short,5,513
43,IT,2017-07-16,2017-08-04,No midges,Tall,6,351
45,MI,2017-07-16,2017-08-04,Midges,Short,6,290
46,C,2017-07-16,2017-08-04,Midges,Tall,6,1050
47,I,2017-07-16,2017-08-04,No midges,Short,6,300
2,MI,2017-08-04,2017-08-20,Midges,Short,1,63
3,I,2017-08-04,2017-08-20,No midges,Short,1,79
6,IT,2017-08-04,2017-08-20,No midges,Tall,1,74
8,C,2017-08-04,2017-08-20,Midges,Tall,1,136
9,I,2017-08-04,2017-08-20,No midges,Short,2,38
12,C,2017-08-04,2017-08-20,Midges,Tall,2,138
13,IT,2017-08-04,2017-08-20,No midges,Tall,2,41
14,MI,2017-08-04,2017-08-20,Midges,Short,2,274
17,I,2017-08-04,2017-08-20,No midges,Short,3,158
18,IT,2017-08-04,2017-08-20,No midges,Tall,3,38
21,MI,2017-08-04,2017-08-20,Midges,Short,3,225
23,C,2017-08-04,2017-08-20,Midges,Tall,3,254
25,I,2017-08-04,2017-08-20,No midges,Short,4,84
28,C,2017-08-04,2017-08-20,Midges,Tall,4,129
29,MI,2017-08-04,2017-08-20,Midges,Short,4,207
30,IT,2017-08-04,2017-08-20,No midges,Tall,4,73
35,I,2017-08-04,2017-08-20,No midges,Short,5,7
37,IT,2017-08-04,2017-08-20,No midges,Tall,5,191
38,C,2017-08-04,2017-08-20,Midges,Tall,5,171
39,MI,2017-08-04,2017-08-20,Midges,Short,5,238
43,IT,2017-08-04,2017-08-20,No midges,Tall,6,26
45,MI,2017-08-04,2017-08-20,Midges,Short,6,161
46,C,2017-08-04,2017-08-20,Midges,Tall,6,468
47,I,2017-08-04,2017-08-20,No midges,Short,6,20
2,MI,2018-05-27,2018-06-11,Midges,Short,1,1880
3,I,2018-05-27,2018-06-11,No midges,Short,1,354
6,IT,2018-05-27,2018-06-11,No midges,Tall,1,906
8,C,2018-05-27,2018-06-11,Midges,Tall,1,1984
9,I,2018-05-27,2018-06-11,No midges,Short,2,626
12,C,2018-05-27,2018-06-11,Midges,Tall,2,2304
13,IT,2018-05-27,2018-06-11,No midges,Tall,2,367
14,MI,2018-05-27,2018-06-11,Midges,Short,2,2296
17,I,2018-05-27,2018-06-11,No midges,Short,3,252
18,IT,2018-05-27,2018-06-11,No midges,Tall,3,616
21,MI,2018-05-27,2018-06-11,Midges,Short,3,1800
23,C,2018-05-27,2018-06-11,Midges,Tall,3,3776
25,I,2018-05-27,2018-06-11,No midges,Short,4,1488
28,C,2018-05-27,2018-06-11,Midges,Tall,4,4336
29,MI,2018-05-27,2018-06-11,Midges,Short,4,10000
30,IT,2018-05-27,2018-06-11,No midges,Tall,4,1536
35,I,2018-05-27,2018-06-11,No midges,Short,5,914
37,IT,2018-05-27,2018-06-11,No midges,Tall,5,1100
38,C,2018-05-27,2018-06-11,Midges,Tall,5,9392
39,MI,2018-05-27,2018-06-11,Midges,Short,5,4912
43,IT,2018-05-27,2018-06-11,No midges,Tall,6,1416
45,MI,2018-05-27,2018-06-11,Midges,Short,6,2976
46,C,2018-05-27,2018-06-11,Midges,Tall,6,8448
47,I,2018-05-27,2018-06-11,No midges,Short,6,2040
25,I,2018-06-10,2018-06-24,No midges,Short,4,57
29,MI,2018-06-10,2018-06-24,Midges,Short,4,1300
30,IT,2018-06-10,2018-06-24,No midges,Tall,4,92
35,I,2018-06-10,2018-06-24,No midges,Short,5,36
37,IT,2018-06-10,2018-06-24,No midges,Tall,5,193
38,C,2018-06-10,2018-06-24,Midges,Tall,5,1804
39,MI,2018-06-10,2018-06-24,Midges,Short,5,2296
43,IT,2018-06-10,2018-06-24,No midges,Tall,6,92
45,MI,2018-06-10,2018-06-24,Midges,Short,6,2304
46,C,2018-06-10,2018-06-24,Midges,Tall,6,3696
47,I,2018-06-10,2018-06-24,No midges,Short,6,109
2,MI,2018-06-11,2018-06-24,Midges,Short,1,319
3,I,2018-06-11,2018-06-24,No midges,Short,1,12
6,IT,2018-06-11,2018-06-24,No midges,Tall,1,42
8,C,2018-06-11,2018-06-24,Midges,Tall,1,305
9,I,2018-06-11,2018-06-24,No midges,Short,2,58
12,C,2018-06-11,2018-06-24,Midges,Tall,2,436
13,IT,2018-06-11,2018-06-24,No midges,Tall,2,17
14,MI,2018-06-11,2018-06-24,Midges,Short,2,748
17,I,2018-06-11,2018-06-24,No midges,Short,3,26
18,IT,2018-06-11,2018-06-24,No midges,Tall,3,26
21,MI,2018-06-11,2018-06-24,Midges,Short,3,474
23,C,2018-06-11,2018-06-24,Midges,Tall,3,486
28,C,2018-06-11,2018-06-24,Midges,Tall,4,1076
2,MI,2018-06-24,2018-07-20,Midges,Short,1,244
3,I,2018-06-24,2018-07-20,No midges,Short,1,3
6,IT,2018-06-24,2018-07-20,No midges,Tall,1,11
8,C,2018-06-24,2018-07-20,Midges,Tall,1,162
9,I,2018-06-24,2018-07-20,No midges,Short,2,40
12,C,2018-06-24,2018-07-20,Midges,Tall,2,146
13,IT,2018-06-24,2018-07-20,No midges,Tall,2,17
14,MI,2018-06-24,2018-07-20,Midges,Short,2,165
17,I,2018-06-24,2018-07-20,No midges,Short,3,17
18,IT,2018-06-24,2018-07-20,No midges,Tall,3,10
21,MI,2018-06-24,2018-07-20,Midges,Short,3,77
23,C,2018-06-24,2018-07-20,Midges,Tall,3,343
25,I,2018-06-24,2018-07-20,No midges,Short,4,10
28,C,2018-06-24,2018-07-20,Midges,Tall,4,61
29,MI,2018-06-24,2018-07-20,Midges,Short,4,231
30,IT,2018-06-24,2018-07-20,No midges,Tall,4,21
35,I,2018-06-24,2018-07-20,No midges,Short,5,21
37,IT,2018-06-24,2018-07-20,No midges,Tall,5,41
38,C,2018-06-24,2018-07-20,Midges,Tall,5,231
39,MI,2018-06-24,2018-07-20,Midges,Short,5,265
43,IT,2018-06-24,2018-07-20,No midges,Tall,6,27
45,MI,2018-06-24,2018-07-20,Midges,Short,6,211
46,C,2018-06-24,2018-07-20,Midges,Tall,6,131
47,I,2018-06-24,2018-07-20,No midges,Short,6,39
2,MI,2018-07-20,2018-08-13,Midges,Short,1,500
3,I,2018-07-20,2018-08-13,No midges,Short,1,23
6,IT,2018-07-20,2018-08-13,No midges,Tall,1,50
8,C,2018-07-20,2018-08-13,Midges,Tall,1,350
9,I,2018-07-20,2018-08-13,No midges,Short,2,92
12,C,2018-07-20,2018-08-13,Midges,Tall,2,274
13,IT,2018-07-20,2018-08-13,No midges,Tall,2,30
14,MI,2018-07-20,2018-08-13,Midges,Short,2,144
17,I,2018-07-20,2018-08-13,No midges,Short,3,18
18,IT,2018-07-20,2018-08-13,No midges,Tall,3,26
21,MI,2018-07-20,2018-08-13,Midges,Short,3,294
23,C,2018-07-20,2018-08-13,Midges,Tall,3,1296
25,I,2018-07-20,2018-08-13,No midges,Short,4,9
28,C,2018-07-20,2018-08-13,Midges,Tall,4,37
29,MI,2018-07-20,2018-08-13,Midges,Short,4,99
30,IT,2018-07-20,2018-08-13,No midges,Tall,4,3
35,I,2018-07-20,2018-08-13,No midges,Short,5,19
37,IT,2018-07-20,2018-08-13,No midges,Tall,5,53
38,C,2018-07-20,2018-08-13,Midges,Tall,5,448
39,MI,2018-07-20,2018-08-13,Midges,Short,5,122
43,IT,2018-07-20,2018-08-13,No midges,Tall,6,10
45,MI,2018-07-20,2018-08-13,Midges,Short,6,240
46,C,2018-07-20,2018-08-13,Midges,Tall,6,480
47,I,2018-07-20,2018-08-13,No midges,Short,6,38
