Plot,Treatment,Midges,Structure,Block,Date,Time,LAI,Height
2,MI,Midges,Short,1,7/28/2017,1,0.79,14
3,I,No midges,Short,1,7/28/2017,1,0.92,40
6,IT,No midges,Tall,1,7/28/2017,1,4.57,50.66666667
8,C,Midges,Tall,1,7/28/2017,1,3.26,43
9,I,No midges,Short,2,7/28/2017,1,1.17,36.33333333
12,C,Midges,Tall,2,7/28/2017,1,1.88,42.66666667
13,IT,No midges,Tall,2,7/28/2017,1,2.74,41
14,MI,Midges,Short,2,7/28/2017,1,1.26,34.66666667
17,I,No midges,Short,3,7/28/2017,1,2.45,56
18,IT,No midges,Tall,3,7/28/2017,1,4.13,81.66666667
21,MI,Midges,Short,3,7/28/2017,1,1.91,46.33333333
23,C,Midges,Tall,3,7/28/2017,1,3.11,56.66666667
25,I,No midges,Short,4,7/28/2017,1,0.89,45.66666667
28,C,Midges,Tall,4,7/28/2017,1,2.76,57
29,MI,Midges,Short,4,7/28/2017,1,0.67,31.66666667
30,IT,No midges,Tall,4,7/28/2017,1,3.33,81
35,I,No midges,Short,5,7/28/2017,1,2.08,54.33333333
37,IT,No midges,Tall,5,7/28/2017,1,3.68,78
38,C,Midges,Tall,5,7/28/2017,1,3.6,66
39,MI,Midges,Short,5,7/28/2017,1,0.98,39.66666667
43,IT,No midges,Tall,6,7/28/2017,1,3.58,71.33333333
45,MI,Midges,Short,6,7/28/2017,1,0.88,40.33333333
46,C,Midges,Tall,6,7/28/2017,1,3.38,73.66666667
47,I,No midges,Short,6,7/28/2017,1,1.23,45
2,MI,Midges,Short,1,5/31/2018,2,0.54,9.3
3,I,No midges,Short,1,5/31/2018,2,0.29,11
6,IT,No midges,Tall,1,5/31/2018,2,4.19,38.7
8,C,Midges,Tall,1,5/31/2018,2,0.67,24
9,I,No midges,Short,2,5/31/2018,2,0.21,12.06
12,C,Midges,Tall,2,5/31/2018,2,2.61,27.6
13,IT,No midges,Tall,2,5/31/2018,2,2.61,43.4
14,MI,Midges,Short,2,5/31/2018,2,0.26,13
17,I,No midges,Short,3,5/31/2018,2,0.02,13.86
18,IT,No midges,Tall,3,5/31/2018,2,2.79,29.44
21,MI,Midges,Short,3,5/31/2018,2,0.01,15.7
23,C,Midges,Tall,3,5/31/2018,2,0.84,30.42
25,I,No midges,Short,4,5/31/2018,2,0.2,11.7
28,C,Midges,Tall,4,5/31/2018,2,0.94,31.7
29,MI,Midges,Short,4,5/31/2018,2,0.32,15.8
30,IT,No midges,Tall,4,5/31/2018,2,3.04,39.6
35,I,No midges,Short,5,5/31/2018,2,0.09,13.1
37,IT,No midges,Tall,5,5/31/2018,2,3.35,31.8
38,C,Midges,Tall,5,5/31/2018,2,1.81,26.3
39,MI,Midges,Short,5,5/31/2018,2,0.74,14.9
43,IT,No midges,Tall,6,5/31/2018,2,2.12,32.2
45,MI,Midges,Short,6,5/31/2018,2,0.24,13.6
46,C,Midges,Tall,6,5/31/2018,2,2.13,38.5
47,I,No midges,Short,6,5/31/2018,2,0.25,13.6
2,MI,Midges,Short,1,7/17/2018,3,1.94,47.96
3,I,No midges,Short,1,7/17/2018,3,2.71,63.6
6,IT,No midges,Tall,1,7/17/2018,3,4.75,65.3
8,C,Midges,Tall,1,7/17/2018,3,3.34,50.66
9,I,No midges,Short,2,7/17/2018,3,2.02,54.4
12,C,Midges,Tall,2,7/17/2018,3,2.89,48.9
13,IT,No midges,Tall,2,7/17/2018,3,1.9,71.6
14,MI,Midges,Short,2,7/17/2018,3,2.48,65
17,I,No midges,Short,3,7/17/2018,3,2.97,84.4
18,IT,No midges,Tall,3,7/17/2018,3,6.24,99.7
21,MI,Midges,Short,3,7/17/2018,3,2.77,94.3
23,C,Midges,Tall,3,7/17/2018,3,2.82,66.9
25,I,No midges,Short,4,7/17/2018,3,2.24,84.2
28,C,Midges,Tall,4,7/17/2018,3,5.79,88.7
29,MI,Midges,Short,4,7/17/2018,3,2.66,97.5
30,IT,No midges,Tall,4,7/17/2018,3,5.09,80.3
35,I,No midges,Short,5,7/17/2018,3,3.38,81.3
37,IT,No midges,Tall,5,7/17/2018,3,6.61,83.9
38,C,Midges,Tall,5,7/17/2018,3,6.09,98.3
39,MI,Midges,Short,5,7/17/2018,3,4.32,90.8
43,IT,No midges,Tall,6,7/17/2018,3,6.56,81.6
45,MI,Midges,Short,6,7/17/2018,3,4.24,91.7
46,C,Midges,Tall,6,7/17/2018,3,4.69,92.1
47,I,No midges,Short,6,7/17/2018,3,4.15,80.1
2,MI,Midges,Short,1,8/17/2018,4,1.22,60
3,I,No midges,Short,1,8/17/2018,4,3.91,85.4
6,IT,No midges,Tall,1,8/17/2018,4,4.39,84.4
8,C,Midges,Tall,1,8/17/2018,4,3.37,77.8
9,I,No midges,Short,2,8/17/2018,4,3.91,70.4
12,C,Midges,Tall,2,8/17/2018,4,3.22,45.4
13,IT,No midges,Tall,2,8/17/2018,4,3.94,74
14,MI,Midges,Short,2,8/17/2018,4,2.91,69.6
17,I,No midges,Short,3,8/17/2018,4,3.85,87.4
18,IT,No midges,Tall,3,8/17/2018,4,4.43,104.8
21,MI,Midges,Short,3,8/17/2018,4,3.37,93
23,C,Midges,Tall,3,8/17/2018,4,2.43,69.6
25,I,No midges,Short,4,8/17/2018,4,3.58,94.6
28,C,Midges,Tall,4,8/17/2018,4,3.45,95.8
29,MI,Midges,Short,4,8/17/2018,4,2.45,109.2
30,IT,No midges,Tall,4,8/17/2018,4,4.25,101
35,I,No midges,Short,5,8/17/2018,4,3.59,101
37,IT,No midges,Tall,5,8/17/2018,4,3.63,100.2
38,C,Midges,Tall,5,8/17/2018,4,2.96,96.6
39,MI,Midges,Short,5,8/17/2018,4,4.04,93
43,IT,No midges,Tall,6,8/17/2018,4,4.03,94
45,MI,Midges,Short,6,8/17/2018,4,4.04,102.2
46,C,Midges,Tall,6,8/17/2018,4,3.5,105.2
47,I,No midges,Short,6,8/17/2018,4,3.93,88.8
